campaign,campaign_id,shop,category,cat_src,name,price,rate,aff,product_id,image,start,end,live
PHOEBE BEAUTY UP様,7657644188943533842,PHOEBE BEAUTY UP,美容・コスメ,id,【公式】スキンケアセット（化粧水＆クリーム）フィービー ビューティーアップ,"5,984円",22.0,https://affiliate.tiktok.com/api/v1/share/ALL5OJhRjbyi,1734386706294146447,product-images/1734386706294146447.jpeg,2026-07-02,2027-06-30,
SaiKuCo様 x EnterCommerce株式会社,7675983715751872274,SaiKuCoストア,美容・コスメ,kw,眉毛 シェーバー レディース フェイスシェーバー 女性 フェイス用ムダ毛 女性用 電動カミソリ 顔剃り USB充電 コードレス マユコーム付き お肌に優しい 眉毛カッター 痛くない 眉 顔用 うぶ毛 産毛 コンパクト,"3,750円",22.0,https://affiliate.tiktok.com/api/v1/share/ALJgz1WJr0Ge,1735065298916050349,product-images/1735065298916050349.jpeg,2026-08-20,2027-08-01,
SaiKuCo様 x EnterCommerce株式会社,7675983715751872274,SaiKuCoストア,ファッション・アパレル,kw,「80％割引！」0D 超透感 パンスト まるで素肌 美脚効果 伝線しにくい 自由カット 接触冷感 レディースストッキング 磨皮ヌード効果 極薄パンスト,799円,22.0,https://affiliate.tiktok.com/api/v1/share/ALJgz1Buvyjf,1736965446867584429,product-images/1736965446867584429.jpeg,2026-08-20,2027-08-01,
SaiKuCo様 x EnterCommerce株式会社,7675983715751872274,SaiKuCo公式睡眠研究所,生活・雑貨,shop,SaiKuCo【高級×5つ星ホテル仕様】枕 深い眠り 首元のカーブにフィットする設計 温度調整/低反発 仰向け・横向き・うつ伏せ対応 より快適な睡眠体験 寝心地アップ プレゼントにも最適 通気性ひんやりカバー付き 63×43cm,"4,880円-5,180円",22.0,https://affiliate.tiktok.com/api/v1/share/ALJgz1OnlAsW,1731596939007985543,product-images/1731596939007985543.jpeg,2026-08-20,2027-08-01,
SaiKuCo様 x EnterCommerce株式会社,7675983715751872274,SaiKuCo公式睡眠研究所,生活・雑貨,shop,SaiKuCo ストレートネック 枕 首 枕 ストレートネック ネックストレッチャー ネックピロー ストレッチ モデル セルフ整体 首枕 矯正 肩甲骨 肩 リラックス,"2,980円",22.0,https://affiliate.tiktok.com/api/v1/share/ALJgz1WK82iI,1731603224521508743,product-images/1731603224521508743.jpeg,2026-08-20,2027-08-01,
SaiKuCo様 x EnterCommerce株式会社,7675983715751872274,SaiKuCo公式睡眠研究所,生活・雑貨,shop,SaiKuCo 【最高級ｘ深い眠りサポート】 夏用 キルトケット 接触冷感 リバーシブル 洗える 薄手 軽量 Q-max0.46/0.55 吸湿通気 ひんやり 春夏秋用 （グレー(深眠冷感タイプ),"5,899円-6,899円",22.0,https://affiliate.tiktok.com/api/v1/share/ALJgz1BvDAOK,1732779568309766023,product-images/1732779568309766023.jpeg,2026-08-20,2027-08-01,
SaiKuCo様 x EnterCommerce株式会社,7675983715751872274,SaiKuCo公式睡眠研究所,生活・雑貨,shop,SaiKuCo【高級ｘ5つ星ホテル仕様】 枕 深い眠り枕 温度調節/低反発 仰向け・横向き・うつ伏せ 安眠枕 快眠枕 寝心地アップ ラクラク プレゼント 通気性冷感カバー付き 63x43cm,"5,080円-5,180円",22.0,https://affiliate.tiktok.com/api/v1/share/ALJgz1Oo2FDr,1732780542237968263,product-images/1732780542237968263.jpeg,2026-08-20,2027-08-01,
SaiKuCo様 x EnterCommerce株式会社,7675983715751872274,SaiKuCo公式睡眠研究所,生活・雑貨,shop,【今だけ大特価】【Qmax生地】SaiKuCo 冷感深い眠りボックスシーツ 敷きパッド Q-MAX0.55 夏用敷きパッド 強冷感 接触冷感 冷感シーツ 冷感敷パッド 冷感ベッドシーツ ボックスシーツ 夏 ひんやり シングル セミシングル セミダブル ダブル クイーン 涼しい 吸水速乾,"3,288円-4,988円",22.0,https://affiliate.tiktok.com/api/v1/share/ALJgz1WKP3kK,1734897785584256903,product-images/1734897785584256903.jpeg,2026-08-20,2027-08-01,
LANEIGE × EnterCommerce,7616580403298502408,LANEIGE Japan,美容・コスメ,id,【LANEIGE公式】《国内発送》リップスリーピングマスク  BerryFruitComplex配合 ココナッツオイル入り 保湿効果で滑らかでふっくらとした唇へ導く,"1,892円-2,365円",20.0,https://affiliate.tiktok.com/api/v1/share/ALL8XR8o3DMV,1732996532938573235,product-images/1732996532938573235.jpeg,2026-03-13,2026-12-31,
マクロジ様 x EnterCommerce,7649652564456785672,MOGO,生活・雑貨,shop,足の臭いごと捨てる　使い捨てインソール【２days インソール】,"1,980円-8,250円",20.0,https://affiliate.tiktok.com/api/v1/share/ALJgz1XcQUSD,1735011511520298868,product-images/1735011511520298868.jpeg,2026-06-10,2027-04-30,
26/7月以降 Nature In様,7659194072054630152,Nature In【公式】,美容・コスメ,id,高濃度ビタミンD3+K2 90日分（90粒×4000IU+180μg） DHA・EPA配合 オメガ3 日本製 国内GMP認定工場 vitamin d k2 Nature In(ネイチャーイン),"2,366円-6,166円",20.0,https://affiliate.tiktok.com/api/v1/share/ALL5BueoaUu1,1733679137767262021,product-images/1733679137767262021.jpeg,2026-07-06,2027-06-30,⚪︎
26/7月以降 Nature In様,7659194072054630152,Nature In【公式】,美容・コスメ,id,Nature In （ネイチャーイン） アスタキサンチン Premium30 900mg サプリ 1日30mg フィトレチノール 35mg【30日分】DHA EPA オメガ3 スーパービタミンE 亜鉛 セラミド 配合 60粒 国内製造,"3,790円-9,490円",20.0,https://affiliate.tiktok.com/api/v1/share/ALL5BueorVoQ,1735282595256174405,product-images/1735282595256174405.jpeg,2026-07-06,2027-06-30,⚪︎
