商品名称,取引金額 (円),売上高成長率,販売数,商品レビュー,平均取引金額 (円),報酬率,クリエイター数,クリエイター取引成立率,アップロード時間,カテゴリー,ライブ取引金額 (円),動画取引金額 (円),TikTokリンク,Kalodata詳細リンク
韓国風だらけ感ストライプオフショルダーTシャツ ゆったりルーズデザイン レイヤード風2点セット 日常・お出かけ対応 レディースカジュアルトップス,79万円,163.7%,262,3.9,"3,015円",4%,30,76.67%,2026-09-05,レディースウェア・インナー,0円,79万円,https://shop.tiktok.com/view/product/1737354165708489750?region=JP,https://www.kalodata.com/product/detail?id=1737354165708489750
EXPRESSIONS プロキシラン Essence Toner 115mL｜ハリ・弾力・うるおいケア｜乾燥や小じわが気になる方へ｜洗顔後の導入美容液,92万円,143.8%,557,4.9,"1,652円",20%,45,60%,2026-08-27,美容・パーソナルケア,70万円,22万円,https://shop.tiktok.com/view/product/1737237437606692251?region=JP,https://www.kalodata.com/product/detail?id=1737237437606692251
ステンレス製エッグポーチャー 1個入り 吊り下げフック付き お手入れ簡単 家庭用キッチンでポーチドエッグ・蒸し卵作りに,74万円,132%,694,1.6,"1,072円",5%,43,25.58%,2026-09-03,キッチン用品,0円,74万円,https://shop.tiktok.com/view/product/1737317359587853954?region=JP,https://www.kalodata.com/product/detail?id=1737317359587853954
メンズ アイスシルク速乾パンツ 夏用 2026年新作 ゆったりストレート スポーツカジュアル 通気性 快適 多目的 ロングズボン,180万円,129.3%,543,2.7,"3,316円",4%,50,76%,2026-09-05,メンズウェア・下着,6万円,174万円,https://shop.tiktok.com/view/product/1737354182344016918?region=JP,https://www.kalodata.com/product/detail?id=1737354182344016918
【上司のあさみ】新規様限定　SPRX  ケープウォーター2箱＆スリーアウト1箱セット,220万円,117.1%,88,5,3万円,12%,7,42.86%,2026-08-29,健康,218万円,2万円,https://shop.tiktok.com/view/product/1737264430510998990?region=JP,https://www.kalodata.com/product/detail?id=1737264430510998990
［九州食市場中村屋］ たまにはいい肉　極上牛タン元　牛タン　タン元　焼肉,71万円,104.5%,73,5,"9,738円",-,14,50%,2026-08-29,食品・飲料,56万円,15万円,https://shop.tiktok.com/view/product/1737250016563922831?region=JP,https://www.kalodata.com/product/detail?id=1737250016563922831
電動美容カッサ ボディケア機器 12段階= 6段階吸引＆温熱機能付き LED表示 USB充電式 低評価は旧コード式の表示ミスによるものです｜現在は全て充電式,185万円,86%,923,4.2,"2,005円",8%,9,77.78%,2026-08-28,美容・パーソナルケア,0円,185万円,https://shop.tiktok.com/view/product/1737230861629752323?region=JP,https://www.kalodata.com/product/detail?id=1737230861629752323
【令和8年産新米一等米あきたこまち】【茨城県産】お米 米 5kg/10kg/20kg/30kg 産地直送 産地厳選 白米 精米済み ふっくら甘みのある味わい 冷めてもおいしい お弁当 おにぎり 和食 定食 カレー 丼 混ぜご飯におすすめ 国産米 家庭用 常備米 日常使い お取り寄せグルメ 人気 お試し 使いやすい5kg/15kg 日本のお米,530万円,85.6%,2888,4.9,"1,835円",5%,50,58%,2026-08-31,食品・飲料,479万円,51万円,https://shop.tiktok.com/view/product/1737282613466596465?region=JP,https://www.kalodata.com/product/detail?id=1737282613466596465
【1099円！】【先着100名限定】2026年モデル 高級素材 2WAY 車載スマホホルダー マグネット・クリップ両用 360°回転 全機種対応 強力吸着 落下防止 吸盤式 ダッシュボード取り付け カー用品,51万円,68.6%,135,4.6,"3,745円",5%,5,100%,2026-08-29,自動車・バイク,0円,51万円,https://shop.tiktok.com/view/product/1737190731199252293?region=JP,https://www.kalodata.com/product/detail?id=1737190731199252293
パッド入りレディースキャミソール ブラトップ仕様 細ストラップ プッシュアップカップ 細見えシルエット オールシーズン対応 全7色展開 伸縮性抜群 速乾・通気性良好 蒸れにくい 女性用インナー 下着 パジャマとしてもマルチに活用可能,136万円,62.2%,378,4.3,"3,604円",8%,37,64.86%,2026-08-27,メンズウェア・下着,0円,136万円,https://shop.tiktok.com/view/product/1737224781368493329?region=JP,https://www.kalodata.com/product/detail?id=1737224781368493329
メンズ 多機能チェストバッグ 外部充電対応 カジュアルショルダーバッグ 斜めがけ 防水 傷に強い 小型バックパック,58万円,60.4%,603,3.2,966円,8%,109,55.05%,2026-09-01,旅行かばん・バッグ,0円,58万円,https://shop.tiktok.com/view/product/1737305925799412757?region=JP,https://www.kalodata.com/product/detail?id=1737305925799412757
「NordMuse」-C223 クリアクォーツ&ドロップ型パール ブレスレット 2点セット,75万円,41.7%,41,5,2万円,-,4,100%,2026-09-07,ジュエリーアクセサリー・デリバティブ,75万円,0円,https://shop.tiktok.com/view/product/1737356172242290438?region=JP,https://www.kalodata.com/product/detail?id=1737356172242290438
ダンボール セットアップ スカート レディース 上下セット 大人カジュアル フード タイトスカート パーカー ウエストゴム【lgww-at4456】【送料無料】60込,59万円,41%,169,4.9,"3,487円",8%,41,26.83%,2026-09-05,レディースウェア・インナー,49万円,10万円,https://shop.tiktok.com/view/product/1737347140969859052?region=JP,https://www.kalodata.com/product/detail?id=1737347140969859052
手作りスクイーズ ストレス解消グッズtoys S- ヨーグルト触感,56万円,38.4%,426,4.9,"1,317円",11%,38,60.53%,2026-09-02,ホーム用品,13万円,43万円,https://shop.tiktok.com/view/product/1736909251312715293?region=JP,https://www.kalodata.com/product/detail?id=1736909251312715293
Gap公式 コットン100% オーバーサイズ ロゴ ニットカーディガン ウィメンズ 910612,129万円,24.5%,168,4,"7,701円",6%,31,25.81%,2026-08-29,レディースウェア・インナー,0円,129万円,https://shop.tiktok.com/view/product/1737118578059216657?region=JP,https://www.kalodata.com/product/detail?id=1737118578059216657
