商品名称,取引金額 (円),売上高成長率,販売数,商品レビュー,平均取引金額 (円),報酬率,クリエイター数,クリエイター取引成立率,アップロード時間,カテゴリー,ライブ取引金額 (円),動画取引金額 (円),TikTokリンク,Kalodata詳細リンク
10秒で自然なツヤ肌|EXPRESSIONS BBクリーム｜SPF50 PA+++・トーンアップ・保湿・毛穴カバー｜汗・水に強い,"2,226万円",-46.6%,15941,4.2,"1,397円",20%,704,38.78%,2026-02-02,美容・パーソナルケア,761万円,"1,465万円",https://shop.tiktok.com/view/product/1734276498199446939?region=JP,https://www.kalodata.com/product/detail?id=1734276498199446939
二つ折りミニ財布 ウォレット 本革 choutrente 薄い スキミング防止機能 スリム 大容量 仕切り二層式 カードポケット 本革財布 財布 レディース （3）【kc-12】,"2,068万円",-63.8%,4614,4.5,"4,482円",9%,249,49%,2026-01-24,旅行かばん・バッグ,955万円,"1,113万円",https://shop.tiktok.com/view/product/1734019061594752818?region=JP,https://www.kalodata.com/product/detail?id=1734019061594752818
【９月24日より順次発送】黒豚肉入り餃子 100個 1.9kg 約17人前 一龍堂 冷凍餃子 肉餃子【楽天ショップ・ザ・イヤー2024 受賞】【月間100万個以上完売】   ぎょうざ ギョウザ  ギョーザ  生餃子  冷凍生餃子 冷凍食品  送料無料 国産豚肉 簡単  食品 惣菜,"2,044万円",-51.7%,5148,4.7,"3,970円",9%,445,44.72%,2025-11-20,食品・飲料,917万円,"1,127万円",https://shop.tiktok.com/view/product/1733172965928109198?region=JP,https://www.kalodata.com/product/detail?id=1733172965928109198
【素肌アプデセット】エレキリフトジェルセット / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),"2,005万円",-50.1%,968,4.8,2万円,-,3,100%,2026-08-22,美容・パーソナルケア,0円,"2,005万円",https://shop.tiktok.com/view/product/1737150446653179069?region=JP,https://www.kalodata.com/product/detail?id=1737150446653179069
【美髪×美肌！】Brighte (ブライト) / Brighte ELEKI LIFT (ブライト エレキリフト) ブラック/ アイスブルー ピンク,"1,876万円",-61.7%,926,4.6,2万円,-,94,71.28%,2026-05-13,美容・パーソナルケア,"1,862万円",14万円,https://shop.tiktok.com/view/product/1735480126990550205?region=JP,https://www.kalodata.com/product/detail?id=1735480126990550205
【BnD 日本公式】 アンダーアーム ボディクリーム 100g デリケートゾーン スキンケア,"1,787万円",-33%,4929,4.3,"3,625円",10%,269,35.32%,2025-09-03,美容・パーソナルケア,65万円,"1,721万円",https://shop.tiktok.com/view/product/1731817282771191729?region=JP,https://www.kalodata.com/product/detail?id=1731817282771191729
エトア カロキシーカット-ETOA CALOXY CUT- 5ml  30包 バランス サポートサプリメント,"1,723万円",-50.3%,4662,4.5,"3,696円",9%,315,44.44%,2026-02-03,健康,"1,637万円",86万円,https://shop.tiktok.com/view/product/1734284191848826100?region=JP,https://www.kalodata.com/product/detail?id=1734284191848826100
【公式】FOODOLOGY(フードオロジー) コレオロジーカットゼリー ザクロ味 10本,"1,715万円",-47.7%,6606,4.7,"2,596円",7%,1348,21.66%,2026-08-14,健康,"1,431万円",283万円,https://shop.tiktok.com/view/product/1736103666082350693?region=JP,https://www.kalodata.com/product/detail?id=1736103666082350693
【特別クーポンで50％OFF】【大容量リピ確定BOX】 超ド級450gのスーパージャンボクーヘンセット（450g×3） ※当商品は常温賞味期限約30日です。 常温での発送となります。 簡易包装でお届けしております。 そのため、商品に割れや崩れが生じる場合がございます。  ただし、品質や味には一切問題ございませんので、安心してお召し上がりください。,"1,711万円",-31.3%,4863,4.6,"3,518円",5%,328,57.01%,2025-07-27,食品・飲料,442万円,"1,269万円",https://shop.tiktok.com/view/product/1731785886279304789?region=JP,https://www.kalodata.com/product/detail?id=1731785886279304789
【新規購入者様限定！特別クーポン利用で50%OFF！！！】  レンジで焼鮭 ドドンと600g入！ 約10切入 グリル不要 冷凍 鮭 切り身 さけ 訳あり 焼き鮭 銀鮭 加熱済 1kg 個包装 切り落とし 塩鮭 家庭用 焼き魚 サケ 切身 冷凍食品 魚 冷凍鮭 鮭の切り身 自然解凍 そのまま レンチン B級 冷凍保存 朝食 時短 弁当 小分け,"1,681万円",-19.3%,2857,4.5,"5,885円",4%,166,54.22%,2026-07-13,食品・飲料,659万円,"1,023万円",https://shop.tiktok.com/view/product/1736416524575868615?region=JP,https://www.kalodata.com/product/detail?id=1736416524575868615
【TIKTOKで話題沸騰中】モスチキン 冷凍モスチキン モスバーガー 冷凍食品 からあげ 唐揚げ おかず 冷凍 フライドチキン チキン 冷凍惣菜 冷凍食品 総菜セット 揚げ物 惣菜 冷凍食品,"1,642万円",-98.3%,5848,4.7,"2,807円",3%,452,47.12%,2026-04-23,食品・飲料,783万円,858万円,https://shop.tiktok.com/view/product/1735157402589365865?region=JP,https://www.kalodata.com/product/detail?id=1735157402589365865
