商品名,取引金額 (円),投稿日,1000視聴回数取引金額 (円),広告視聴率,視聴回数,クリエイター,フォロワー数,動画ID,動画リンク
【TYMO公式】自動巻きカールアイロン CURLPRO｜初心者向け・ワンタッチ全自動カール｜1年保証付き・製品不具合の場合は無料交換｜直径32mmのやや太めの Barrel で、自然でゆるやかなカールに。推奨ヘア長：肩〜胸下程度｜約10分でサロン級のカール、360°の熱対策・絡まり防止・左右巻き切り替え、8秒お知らせ機能、マイナスイオン搭載｜ショート・ボブ・ロングに対応,34万円,2026-08-03,"1,855円",24.96%,18.31万,@clark078154,80,7669669083968802066,https://www.tiktok.com/@clark078154/video/7669669083968802066
【初回ご注文はたった 1 円】補整ブラ レディース ノンワイヤー 脇高設計 脇肉すっきり 寄せ上げ バストサポート 大きな胸をすっきり見せる 調整ブラ,34万円,2026-09-21,"6,869円",>90%,4.93万,@jdd9nx4,"1,187",7687858342173166869,https://www.tiktok.com/@jdd9nx4/video/7687858342173166869
【水光チャージセット】エレキリフトジェル / ブライト エレキリフト 美顔器 Brighte ELEKI LIFT BLACK/ICE BLUE/PINK (ブライト エレキリフト ブラック/ブルー/ピンク),34万円,2026-09-17,316円,3.66%,106.82万,@moe_biyou,"2,943",7686471153199697159,https://www.tiktok.com/@moe_biyou/video/7686471153199697159
TPR素材の4個セット【大人気】タバスクイーズ 芋泥ケーキ スクイーズ｜もちもち、低反発、水のような質感のおもちゃ｜食品グレードのシリコン製、かわいい、デザート風の雑貨,34万円,2026-09-16,408円,0%,82.7万,@user213843616693,206,7686055650878704916,https://www.tiktok.com/@user213843616693/video/7686055650878704916
【U-POWER公式・TikTok販売5万台突破】スマホホルダー 車 ナノゲル吸着×真空吸盤 W固定構造 magsafe対応 360度回転 N55磁石 片手操作 iPhone Android全機種対応 スマホスタンド 車用  カー用品,34万円,2026-09-09,177円,1.83%,190.57万,@upowerno.1,3.52万,7683464906787654920,https://www.tiktok.com/@upowerno.1/video/7683464906787654920
WOSADO ソフトマグネット式つけまつげ 即時付け3秒 つけまつげの簡単付け 工程不要のまつげ 3秒マグネットつけま wosadoつけま 繰り返し使用可能 No.1ナチュラルブラック2.0 No.11曜石ブラック No.14フォグブラック NO.32梨花ブラック,34万円,2026-03-23,"2,321円",35.99%,14.48万,@mochipu_pu,"2,796",7620276072130563349,https://www.tiktok.com/@mochipu_pu/video/7620276072130563349
新発売 YETE アイスクリーム脱毛器 28.8J大エネルギー サファイア冷却 全身対応 軽量350g,33万円,2026-08-28,"9,415円",20.82%,3.52万,@kotoham_otoku,"5,157",7679024069462723848,https://www.tiktok.com/@kotoham_otoku/video/7679024069462723848
新発売記念 YETE アイスクリーム脱毛器 サファイア10℃冷却ケア 28.8J大エネルギー ダブルパルス高速処理 家庭用 軽量350g,33万円,2026-09-20,631円,0%,52.29万,@yoshinobu_yade,5.75万,7687388300172184853,https://www.tiktok.com/@yoshinobu_yade/video/7687388300172184853
ダイエットスリッパ サンダル 美脚 軽量 健康 むくみ 姿勢改善 丸洗いOK 足裏マッサージ ツボ押し （T）【euni-206】,33万円,2026-09-11,243円,3.00%,135.54万,@sutokun999,5.1万,7684143475029265682,https://www.tiktok.com/@sutokun999/video/7684143475029265682
【マイクロカレント搭載】【公式】SALONIA サロニア フェイスカレントポインター さろにあ ペン型美顔器,33万円,2026-07-01,"1,739円",22.75%,18.84万,@chisato_nakano,2.04万,7657492631102016789,https://www.tiktok.com/@chisato_nakano/video/7657492631102016789
Enchenal Lab 電動シェーバー メンズ 往復式 髭剃り 小型 深剃り 0.05mm薄ハニカムメッシュ刃 高速駆動 長持ちバッテリー 出張 旅行 携帯用,33万円,2026-09-18,171円,1.62%,191.61万,@dj_yogig1022,39.1万,7686858435563932936,https://www.tiktok.com/@dj_yogig1022/video/7686858435563932936
AYUNE NO.3 セラム　導入美容液　グリシルグリシン　美容皮膚科医推奨　毛穴悩み,33万円,2026-09-13,1万円,>90%,2.58万,@user9045908181444,"3,124",7684093648249670919,https://www.tiktok.com/@user9045908181444/video/7684093648249670919
【3日間送料無料】マスターハンド 首・肩のマッサージ器 電動式 本物そっくりの手で揉みほぐす 首・肩・背中用 温熱機能付き 透明 深部組織の痛みを緩和,33万円,2026-09-17,536円,0%,60.82万,@suzangdn1a9,"1,170",7686465502968909077,https://www.tiktok.com/@suzangdn1a9/video/7686465502968909077
冷蔵便配送　割れチョコ 1袋(200g入り) 訳あり チョコレート  選べる チョコ スイーツ 大浜スイーツアカデミー,33万円,2026-09-14,531円,6.95%,61.37万,@nekote_life,"6,858",7685192680204143879,https://www.tiktok.com/@nekote_life/video/7685192680204143879
国産ブレンド米 30kg 宮城県製造 小粒米 精米 白米 生活応援価格 訳あり,32万円,2026-09-21,"1,170円",0%,27.63万,@chi4mua,"1,599",7687880268748786965,https://www.tiktok.com/@chi4mua/video/7687880268748786965
【Mon cher公式】堂島アマンドショコラロール 堂島ロール ロールケーキ モンシェール,32万円,2026-09-16,326円,0.96%,99.16万,@moncher_tiktok,"3,667",7686038289526181140,https://www.tiktok.com/@moncher_tiktok/video/7686038289526181140
